음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
제주 그린티 스무디L,454,452.2,0,47.1,0,1,0,0,193.2,0,0,0,0,0,0,공차
레몬요구르트스무디 (ice)L,454,234,0,82.3,0,1.4,0,0,16.6,0,0,0,0,0,0,공차
타로 스무디 (ice)L,454,274,0,45.9,0,0,0,0,36.9,0,0,0,0,0,0,공차
아메리카노 (ice)L,454,11,0,0,0,0.9,0,0,4.9,0,0,0,0,0,0,공차
아메리카노 (hot)L,397,14.4,0,0,0,0.8,0,0,9.1,0,0,0,0,0,0,공차
얼그레이 아메리카노 (ice)L,454,9.9,0,0,0,1.1,0,0,3.8,0,0,0,0,0,0,공차
얼그레이 아메리카노 (hot)L,397,13.8,0,0,0,1.1,0,0,8.6,0,0,0,0,0,0,공차
카페라떼 (ice)L,454,112.7,0,5.1,0,5.4,0,0,66.8,0,0,0,0,0,0,공차
카페라떼 (hot)L,397,187.5,0,7.6,0,8.4,0,0,107.7,0,0,0,0,0,0,공차
딥모카 카페라떼 (ice)L,454,359.7,0,23.3,0,7.9,0,0,234.1,0,0,0,0,0,0,공차
딥모카 카페라떼 (hot)L,397,453.9,0,28.1,0,10.5,0,0,319.5,0,0,0,0,0,0,공차
딥바닐라 카페라떼 (ice)L,454,215.8,0,22.8,0,6.2,0,0,71.9,0,0,0,0,0,0,공차
딥바닐라 카페라떼 (hot)L,397,347.1,0,34.6,0,10.9,0,0,128.7,0,0,0,0,0,0,공차
더블 그린 카페라떼 (ice)L,454,212,0,15.2,0,4.5,0,0,188.3,0,0,0,0,0,0,공차
더블 그린 카페라떼 (hot)L,397,324.4,0,20.5,0,8.9,0,0,261.3,0,0,0,0,0,0,공차
나이트로 바닐라 크림,355,75,0,10,0,1,0,0,20,0,0,0,0,0,0,스타벅스
나이트로 쇼콜라 클라우드,355,55,0,7,0,1,0,0,20,0,0,0,0,0,0,스타벅스
나이트로 콜드 브루,355,5,0,0,0,0,0,0,5,0,0,0,0,0,0,스타벅스
돌체 콜드 브루,355,265,0,29,0,8,0,0,115,0,0,0,0,0,0,스타벅스
바닐라 크림 콜드 브루,355,125,0,11,0,3,0,0,58,0,0,0,0,0,0,스타벅스
콜드 브루,355,5,0,0,0,0,0,0,11,0,0,0,0,0,0,스타벅스
콜드 브루 몰트,355,510,0,40,0,10,0,0,147.8,0,0,0,0,0,0,스타벅스
콜드 브루 플로트,355,230,0,18,0,3,0,0,69,0,0,0,0,0,0,스타벅스
콜드 폼 콜드 브루,355,105,0,20,0,5,0,0,175,0,0,0,0,0,0,스타벅스
아이스 커피,355,5,0,0,0,0,0,0,10,0,0,0,0,0,0,스타벅스
오늘의 커피,355,5,0,0,0,0,0,0,10,0,0,0,0,0,0,스타벅스
단호박 라떼 위드 샷,355,355,0,40,0,10,0,0,180,0,0,0,0,0,0,스타벅스
블랙 글레이즈드 라떼,355,410,0,36,0,11,0,0,240,0,0,0,0,0,0,스타벅스
아이스 단호박 라떼 위드 샷,355,265,0,33,0,6,0,0,110,0,0,0,0,0,0,스타벅스
아이스 블랙 글레이즈드 라떼,355,320,0,29,0,7,0,0,160,0,0,0,0,0,0,스타벅스
에스프레소 콘 파나,22,30,0,1,0,0,0,0,0,0,0,0,0,0,0,스타벅스
에스프레소 마키아또,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,스타벅스
아이스 카페 아메리카노,355,10,0,0,0,1,0,0,5,0,0,0,0,0,0,스타벅스
카페 아메리카노,355,10,0,0,0,1,0,0,5,0,0,0,0,0,0,스타벅스
아이스 카라멜 마키아또,355,190,0,22,0,7,0,0,95,0,0,0,0,0,0,스타벅스
카라멜 마키아또,355,200,0,22,0,8,0,0,100,0,0,0,0,0,0,스타벅스
아이스 카푸치노,355,115,0,9,0,6,0,0,90,0,0,0,0,0,0,스타벅스
카푸치노,355,110,0,8,0,6,0,0,70,0,0,0,0,0,0,스타벅스
라벤더 카페 브레베,355,406,0,30,0,7,0,0,140,0,0,0,0,0,0,스타벅스
럼 샷 코르타도,237,70,0,8,0,3,0,0,45,0,0,0,0,0,0,스타벅스
스타벅스 돌체 라떼,355,255,0,39,0,12,0,0,190,0,0,0,0,0,0,스타벅스
아이스 라벤더 카페 브레베,355,335,0,27,0,6,0,0,110,0,0,0,0,0,0,스타벅스
아이스 스타벅스 돌체 라떼,355,230,0,35,0,10,0,0,145,0,0,0,0,0,0,스타벅스
아이스 카페 라떼,355,110,0,8,0,6,0,0,75,0,0,0,0,0,0,스타벅스
카페 라떼,355,180,0,13,0,10,0,0,115,0,0,0,0,0,0,스타벅스
아이스 카페 모카,355,250,0,21,0,7,0,0,70,0,0,0,0,0,0,스타벅스
아이스 화이트 초콜릿 모카,355,350,0,41,0,8,0,0,150,0,0,0,0,0,0,스타벅스
카페 모카,355,290,0,25,0,10,0,0,105,0,0,0,0,0,0,스타벅스
화이트 초콜릿 모카,355,390,0,45,0,12,0,0,190,0,0,0,0,0,0,스타벅스
리스트레토 비안코,355,190,0,14,0,10,0,0,143,0,0,0,0,0,0,스타벅스
바닐라 스타벅스 더블 샷,207,125,0,14,0,2,0,0,30,0,0,0,0,0,0,스타벅스
블론드 리스트레토 마키아또,355,265,0,33,0,9,0,0,140,0,0,0,0,0,0,스타벅스
