음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
백설기,100,229,50.4,0.1,1.5,3.7,6.02,35.7,210.9,31.04,13.81,0.08,0.51,0,0
쑥절편,100,192,34.9,0.2,2.4,7.7,27.26,33.9,192.27,38.57,14.79,0.43,0.68,0,0
약식,100,219,45.2,13.2,2.5,4.2,13.38,43.44,221.18,85.4,20.84,0.33,0.82,0,0
인절미,100,242,50.1,6.3,2.2,5.6,16.42,61.19,296.82,127.66,27.42,0.4,1,0,0
증편,100,200,44.2,3.2,1.2,3.2,9.63,38.08,283.95,21.7,7.87,0.1,0.58,0,0
찐감자,200,140,30,1.7,0.3,4.3,19.75,100.53,6.75,960.67,56.79,654.33,687.51,0,0
찐고구마,200,277,64.9,32.6,0.5,3.3,40.41,129.78,19.46,803.06,44.54,1145.46,587.16,0,0
찐옥수수,200,370,68.4,4.7,4.8,13.4,9.78,418.03,179.23,611.2,127.53,136.12,4.37,0,0
참깨경단,100,239,38.6,0.6,6.7,6.3,177.89,104.33,202.87,74.9,46.75,840.52,1411.2,0,0
팥시루떡,100,224,48.1,0,1.8,3.8,13.91,65.34,195.21,161.25,24.82,0.66,1.07,0,0
팥찹쌀떡,100,294,62.9,25.9,2.5,5.1,17.36,33.83,140.24,34.37,15.89,0.41,0.64,0,0
가자미구이,200,245,1.3,0,10,37.4,359.49,550.24,630.39,618.55,58.04,687.51,2219.98,168.65,0.2
간장양념닭다리구이,300,740,10.6,13.1,46.9,68.9,39.45,835,1628.76,1377.33,109.85,3.34,7.58,317.02,0.4
갈치구이,200,275,1.2,0,11,43.1,23.87,473.95,594.47,836.32,58.97,926.75,1385.48,175.91,0.1
고등어구이,200,551,0.4,0.4,40,47.7,260.01,680.11,1210,813.31,73.54,2.59,2.13,112.67,0.3
고등어석쇠구이,200,679,7.6,0,51.4,46.7,203.63,612.38,252.52,660.95,79.73,3.7,1.87,106.18,0.7
굴비구이,150,291,0.1,0.4,19.9,28,994.76,659.05,1377.2,216.03,106.91,1310.64,1546.56,198.1,0.1
꽁치구이,200,604,4.3,0,43.4,49.4,261.16,612.13,516.7,761.68,61.83,4392.07,2222.43,90.51,5.9
닭고기대파꼬치구이,170,416,17.6,2.8,25,30.3,27.26,305.48,708.18,500.13,41.77,1.86,3.41,130.26,0.2
